"ID";"ParentID";"File";"Content.DescriptionLevel";"Content.Title";"Content.ArchivalAgencyArchiveUnitIdentifier";"Content.StartDate";"Content.EndDate";"Content.TransactedDate";"Content.CustodialHistory.CustodialHistoryItem";"Content.Description"
"1";"2";"CV_Martine_DUPONT.pdf";"Item";"CV_Martine_DUPONT.pdf";"";"2019-03-14";"2019-03-14";"2026-06-01";"";""
"2";"";".";"RecordGrp";"Mairie_Saint-Genis_Affaires_Scolaires_SMALL";"";"2014-08-29";"2026-05-31";"2026-06-01";"";""
"3";"2";"Document1.pdf";"Item";"Document1.pdf";"";"2024-02-28";"2024-02-28";"2026-06-01";"";""
"4";"2";"organigramme service 2023.pptx";"Item";"organigramme service 2023.pptx";"";"2023-01-09";"2023-01-09";"2026-06-01";"";""
"5";"6";"A CLASSER\document sans nom.pdf";"Item";"document sans nom.pdf";"";"2023-04-12";"2023-04-12";"2026-06-01";"";""
"6";"2";"A CLASSER";"RecordGrp";"A CLASSER";"";"2022-09-08";"2026-05-31";"2026-06-01";"";""
"7";"6";"A CLASSER\SCAN_0987.pdf";"Item";"SCAN_0987.pdf";"";"2023-02-08";"2023-02-08";"2026-06-01";"";""
"8";"6";"A CLASSER\truc.docx";"Item";"truc.docx";"";"2022-11-03";"2022-11-03";"2026-06-01";"";""
"9";"6";"A CLASSER\copie_passeport_eleve.pdf";"Item";"copie_passeport_eleve.pdf";"";"2022-09-08";"2022-09-08";"2026-06-01";"";""
"10";"6";"A CLASSER\email export.eml";"Item";"email export.eml";"";"2026-05-31";"2026-05-31";"2026-06-01";"";""
"11";"12";"01_Inscriptions scolaires\aaaa.pdf";"Item";"aaaa.pdf";"";"2020-11-03";"2020-11-03";"2026-06-01";"";""
"12";"2";"01_Inscriptions scolaires";"RecordGrp";"01_Inscriptions scolaires";"";"2020-11-03";"2024-06-27";"2026-06-01";"";""
"13";"12";"01_Inscriptions scolaires\courrier parents - rentree 2024 FINAL_VRAI.docx";"Item";"courrier parents - rentree 2024 FINAL_VRAI.docx";"";"2024-06-27";"2024-06-27";"2026-06-01";"";""
"14";"12";"01_Inscriptions scolaires\courrier parents - rentree 2024 VF.docx";"Item";"courrier parents - rentree 2024 VF.docx";"";"2024-06-25";"2024-06-25";"2026-06-01";"";""
"15";"12";"01_Inscriptions scolaires\courrier parents - rentree 2024.docx";"Item";"courrier parents - rentree 2024.docx";"";"2024-06-20";"2024-06-20";"2026-06-01";"";""
"16";"12";"01_Inscriptions scolaires\SCAN_0034.pdf";"Item";"SCAN_0034.pdf";"";"2021-09-12";"2021-09-12";"2026-06-01";"";""
"17";"18";"ATSEM - Personnel\CV Sophie BERNARD candidature.pdf";"Item";"CV Sophie BERNARD candidature.pdf";"";"2022-06-20";"2022-06-20";"2026-06-01";"";""
"18";"2";"ATSEM - Personnel";"RecordGrp";"ATSEM - Personnel";"";"2022-04-08";"2023-11-28";"2026-06-01";"";""
"19";"18";"ATSEM - Personnel\fiche poste ATSEM 2022.docx";"Item";"fiche poste ATSEM 2022.docx";"";"2022-04-08";"2022-04-08";"2026-06-01";"";""
"20";"18";"ATSEM - Personnel\entretien annuel S_BERNARD 2023.pdf";"Item";"entretien annuel S_BERNARD 2023.pdf";"";"2023-11-28";"2023-11-28";"2026-06-01";"";""
"21";"18";"ATSEM - Personnel\planning ATSEM 2023-2024.xlsx";"Item";"planning ATSEM 2023-2024.xlsx";"";"2023-08-30";"2023-08-30";"2026-06-01";"";""
"22";"23";"Communication parents\courrier rentrée 2023.docx";"Item";"courrier rentrée 2023.docx";"";"2023-08-21";"2023-08-21";"2026-06-01";"";""
"23";"2";"Communication parents";"RecordGrp";"Communication parents";"";"2020-03-15";"2023-09-04";"2026-06-01";"";""
"24";"18";"ATSEM - Personnel\formation HACCP attestation S_BERNARD.pdf";"Item";"formation HACCP attestation S_BERNARD.pdf";"";"2023-10-04";"2023-10-04";"2026-06-01";"";""
"25";"23";"Communication parents\affiche kermesse 2023 VF.pptx";"Item";"affiche kermesse 2023 VF.pptx";"";"2023-06-08";"2023-06-08";"2026-06-01";"";""
"26";"23";"Communication parents\affiche kermesse 2023.pptx";"Item";"affiche kermesse 2023.pptx";"";"2023-05-30";"2023-05-30";"2026-06-01";"";""
"27";"23";"Communication parents\note info COVID mars 2020.pdf";"Item";"note info COVID mars 2020.pdf";"";"2020-03-15";"2020-03-15";"2026-06-01";"";""
"28";"23";"Communication parents\RE_ inscription cantine - urgent.msg";"Item";"RE_ inscription cantine - urgent.msg";"";"2023-09-04";"2023-09-04";"2026-06-01";"";""
"29";"30";"Periscolaire ALSH garderie\règlement garderie.pdf";"Item";"règlement garderie.pdf";"";"2019-08-29";"2019-08-29";"2026-06-01";"";""
"30";"2";"Periscolaire ALSH garderie";"RecordGrp";"Periscolaire ALSH garderie";"";"2019-08-29";"2024-06-30";"2026-06-01";"";""
"31";"30";"Periscolaire ALSH garderie\garderie inscriptions 2023-2024.xlsx";"Item";"garderie inscriptions 2023-2024.xlsx";"";"2023-09-08";"2023-09-08";"2026-06-01";"";""
"32";"30";"Periscolaire ALSH garderie\reglement garderie 2023.pdf";"Item";"reglement garderie 2023.pdf";"";"2023-08-29";"2023-08-29";"2026-06-01";"";""
"33";"30";"Periscolaire ALSH garderie\tarifs periscolaire 2024.pdf";"Item";"tarifs periscolaire 2024.pdf";"";"2024-06-30";"2024-06-30";"2026-06-01";"";""
"34";"30";"Periscolaire ALSH garderie\test.pdf";"Item";"test.pdf";"";"2022-04-11";"2022-04-11";"2026-06-01";"";""
"35";"36";"RESTAURATION\Reglement cantine FINAL_VRAI.docx";"Item";"Reglement cantine FINAL_VRAI.docx";"";"2021-08-30";"2021-08-30";"2026-06-01";"";""
"36";"2";"RESTAURATION";"RecordGrp";"RESTAURATION";"";"2018-08-20";"2023-12-30";"2026-06-01";"";""
"37";"36";"RESTAURATION\Reglement cantine VF.docx";"Item";"Reglement cantine VF.docx";"";"2020-08-24";"2020-08-24";"2026-06-01";"";""
"38";"36";"RESTAURATION\Reglement cantine v1.docx";"Item";"Reglement cantine v1.docx";"";"2018-08-20";"2018-08-20";"2026-06-01";"";""
"39";"40";"Photos kermesse fete ecole\IMG_2301.JPG";"Item";"IMG_2301.JPG";"";"2019-06-22";"2019-06-22";"2026-06-01";"";""
"40";"2";"Photos kermesse fete ecole";"RecordGrp";"Photos kermesse fete ecole";"";"2019-06-22";"2023-06-24";"2026-06-01";"";""
"41";"40";"Photos kermesse fete ecole\kermesse_2022_002.jpg";"Item";"kermesse_2022_002.jpg";"";"2022-06-25";"2022-06-25";"2026-06-01";"";""
"42";"40";"Photos kermesse fete ecole\kermesse_2022_001.jpg";"Item";"kermesse_2022_001.jpg";"";"2022-06-25";"2022-06-25";"2026-06-01";"";""
"43";"40";"Photos kermesse fete ecole\IMG_2302.JPG";"Item";"IMG_2302.JPG";"";"2019-06-22";"2019-06-22";"2026-06-01";"";""
"44";"45";"Transport scolaire 2020-2024\CIRCUIT BUS 2023-2024.pdf";"Item";"CIRCUIT BUS 2023-2024.pdf";"";"2023-08-21";"2023-08-21";"2026-06-01";"";""
"45";"2";"Transport scolaire 2020-2024";"RecordGrp";"Transport scolaire 2020-2024";"";"2022-08-19";"2024-06-28";"2026-06-01";"";""
"46";"45";"Transport scolaire 2020-2024\circuit bus 2022-2023.pdf";"Item";"circuit bus 2022-2023.pdf";"";"2022-08-19";"2022-08-19";"2026-06-01";"";""
"47";"45";"Transport scolaire 2020-2024\RE_ retard bus matin.msg";"Item";"RE_ retard bus matin.msg";"";"2023-11-08";"2023-11-08";"2026-06-01";"";""
"48";"45";"Transport scolaire 2020-2024\liste enfants transport 2023.xlsx";"Item";"liste enfants transport 2023.xlsx";"";"2023-09-04";"2023-09-04";"2026-06-01";"";""
"49";"50";"Nouveau dossier (2)\sans titre.docx";"Item";"sans titre.docx";"";"2022-10-17";"2022-10-17";"2026-06-01";"";""
"50";"2";"Nouveau dossier (2)";"RecordGrp";"Nouveau dossier (2)";"";"2022-10-17";"2022-10-17";"2026-06-01";"";""
"51";"45";"Transport scolaire 2020-2024\convention transport CD 2024.pdf";"Item";"convention transport CD 2024.pdf";"";"2024-06-28";"2024-06-28";"2026-06-01";"";""
"52";"53";"Travaux ecoles\devis preau Marie Curie 2023 v2.pdf";"Item";"devis preau Marie Curie 2023 v2.pdf";"";"2023-06-12";"2023-06-12";"2026-06-01";"";""
"53";"2";"Travaux ecoles";"RecordGrp";"Travaux ecoles";"";"2019-02-15";"2023-06-12";"2026-06-01";"";""
"54";"53";"Travaux ecoles\IMG_8822.JPG";"Item";"IMG_8822.JPG";"";"2022-04-05";"2022-04-05";"2026-06-01";"";""
"55";"53";"Travaux ecoles\IMG_8821.JPG";"Item";"IMG_8821.JPG";"";"2022-04-05";"2022-04-05";"2026-06-01";"";""
"56";"53";"Travaux ecoles\DTA ecoles 2022.pdf";"Item";"DTA ecoles 2022.pdf";"";"2022-11-14";"2022-11-14";"2026-06-01";"";""
"57";"53";"Travaux ecoles\devis preau Marie Curie 2023.pdf";"Item";"devis preau Marie Curie 2023.pdf";"";"2023-05-30";"2023-05-30";"2026-06-01";"";""
"58";"53";"Travaux ecoles\PLANS Jules Ferry niveau RDC.pdf";"Item";"PLANS Jules Ferry niveau RDC.pdf";"";"2019-02-15";"2019-02-15";"2026-06-01";"";""
"59";"60";"01_Inscriptions scolaires\Inscriptions 2022-2023\derogations - Copie.pdf";"Item";"derogations - Copie.pdf";"";"2022-08-22";"2022-08-22";"2026-06-01";"";""
"60";"12";"01_Inscriptions scolaires\Inscriptions 2022-2023";"RecordGrp";"Inscriptions 2022-2023";"";"2022-08-22";"2022-09-01";"2026-06-01";"";""
"61";"60";"01_Inscriptions scolaires\Inscriptions 2022-2023\derogations.pdf";"Item";"derogations.pdf";"";"2022-08-22";"2022-08-22";"2026-06-01";"";""
"62";"63";"Conseils d'ecole\Ecole elementaire Jules Ferry\CR conseil ecole 2022-10-12 - Copie.pdf";"Item";"CR conseil ecole 2022-10-12 - Copie.pdf";"";"2022-10-15";"2022-10-15";"2026-06-01";"";""
"63";"64";"Conseils d'ecole\Ecole elementaire Jules Ferry";"RecordGrp";"Ecole elementaire Jules Ferry";"";"2018-09-10";"2023-03-24";"2026-06-01";"";""
"64";"2";"Conseils d'ecole";"RecordGrp";"Conseils d'ecole";"";"2018-09-10";"2023-11-23";"2026-06-01";"";""
"65";"60";"01_Inscriptions scolaires\Inscriptions 2022-2023\Liste eleves rentree 2022.xlsx";"Item";"Liste eleves rentree 2022.xlsx";"";"2022-09-01";"2022-09-01";"2026-06-01";"";""
"66";"63";"Conseils d'ecole\Ecole elementaire Jules Ferry\reglement interieur ecole 2022.pdf";"Item";"reglement interieur ecole 2022.pdf";"";"2022-09-08";"2022-09-08";"2026-06-01";"";""
"67";"63";"Conseils d'ecole\Ecole elementaire Jules Ferry\CR conseil ecole 2022-10-12.pdf";"Item";"CR conseil ecole 2022-10-12.pdf";"";"2022-10-15";"2022-10-15";"2026-06-01";"";""
"68";"63";"Conseils d'ecole\Ecole elementaire Jules Ferry\règlement intérieur école.pdf";"Item";"règlement intérieur école.pdf";"";"2018-09-10";"2018-09-10";"2026-06-01";"";""
"69";"63";"Conseils d'ecole\Ecole elementaire Jules Ferry\CR_2023-03-21.pdf";"Item";"CR_2023-03-21.pdf";"";"2023-03-24";"2023-03-24";"2026-06-01";"";""
"70";"71";"01_Inscriptions scolaires\Inscriptions 2023\Liste eleves CP rentree 2023.xlsx";"Item";"Liste eleves CP rentree 2023.xlsx";"";"2023-09-04";"2023-09-04";"2026-06-01";"";""
"71";"12";"01_Inscriptions scolaires\Inscriptions 2023";"RecordGrp";"Inscriptions 2023";"";"2022-09-01";"2023-09-04";"2026-06-01";"";""
"72";"73";"Conseils d'ecole\ECOLE Marie Curie\CR ce nov 2023 V2.docx";"Item";"CR ce nov 2023 V2.docx";"";"2023-11-22";"2023-11-22";"2026-06-01";"";""
"73";"64";"Conseils d'ecole\ECOLE Marie Curie";"RecordGrp";"ECOLE Marie Curie";"";"2023-11-21";"2023-11-23";"2026-06-01";"";""
"74";"73";"Conseils d'ecole\ECOLE Marie Curie\CR ce nov 2023 VF.docx";"Item";"CR ce nov 2023 VF.docx";"";"2023-11-23";"2023-11-23";"2026-06-01";"";""
"75";"71";"01_Inscriptions scolaires\Inscriptions 2023\Liste eleves rentree 2022.xlsx";"Item";"Liste eleves rentree 2022.xlsx";"";"2022-09-01";"2022-09-01";"2026-06-01";"";""
"76";"77";"Periscolaire ALSH garderie\ALSH\inscriptions ALSH 2023-2024.xlsx";"Item";"inscriptions ALSH 2023-2024.xlsx";"";"2023-09-08";"2023-09-08";"2026-06-01";"";""
"77";"30";"Periscolaire ALSH garderie\ALSH";"RecordGrp";"ALSH";"";"2023-09-03";"2024-01-22";"2026-06-01";"";""
"78";"77";"Periscolaire ALSH garderie\ALSH\planning vacances fevrier 2024.xlsx";"Item";"planning vacances fevrier 2024.xlsx";"";"2024-01-22";"2024-01-22";"2026-06-01";"";""
"79";"73";"Conseils d'ecole\ECOLE Marie Curie\CR ce nov 2023.docx";"Item";"CR ce nov 2023.docx";"";"2023-11-21";"2023-11-21";"2026-06-01";"";""
"80";"81";"OLD\anciens reglements\reglement cantine 2015.pdf";"Item";"reglement cantine 2015.pdf";"";"2015-08-30";"2015-08-30";"2026-06-01";"";""
"81";"82";"OLD\anciens reglements";"RecordGrp";"anciens reglements";"";"2014-08-29";"2015-08-30";"2026-06-01";"";""
"82";"2";"OLD";"RecordGrp";"OLD";"";"2014-08-29";"2018-12-04";"2026-06-01";"";""
"83";"84";"RESTAURATION\Factures\factures_cantine_2023.xlsx";"Item";"factures_cantine_2023.xlsx";"";"2023-12-30";"2023-12-30";"2026-06-01";"";""
"84";"36";"RESTAURATION\Factures";"RecordGrp";"Factures";"";"2022-12-29";"2023-12-30";"2026-06-01";"";""
"85";"77";"Periscolaire ALSH garderie\ALSH\projet pédagogique 2023-2024.pdf";"Item";"projet pédagogique 2023-2024.pdf";"";"2023-09-03";"2023-09-03";"2026-06-01";"";""
"86";"84";"RESTAURATION\Factures\kermesse_2023_001.jpg";"Item";"kermesse_2023_001.jpg";"";"2023-06-24";"2023-06-24";"2026-06-01";"";""
"87";"84";"RESTAURATION\Factures\factures cantine 2022.xlsx";"Item";"factures cantine 2022.xlsx";"";"2022-12-29";"2022-12-29";"2026-06-01";"";""
"88";"89";"RESTAURATION\Allergies PAI\PAI Lucas DURAND signe.pdf";"Item";"PAI Lucas DURAND signe.pdf";"";"2022-09-15";"2022-09-15";"2026-06-01";"";""
"89";"36";"RESTAURATION\Allergies PAI";"RecordGrp";"Allergies PAI";"";"2022-09-15";"2023-09-20";"2026-06-01";"";""
"90";"89";"RESTAURATION\Allergies PAI\liste PAI 2023-2024.xlsx";"Item";"liste PAI 2023-2024.xlsx";"";"2023-09-20";"2023-09-20";"2026-06-01";"";""
"91";"81";"OLD\anciens reglements\reglement garderie 2014.pdf";"Item";"reglement garderie 2014.pdf";"";"2014-08-29";"2014-08-29";"2026-06-01";"";""
"92";"93";"OLD\listes 2017-2018\liste eleves CP 2017.xlsx";"Item";"liste eleves CP 2017.xlsx";"";"2017-09-05";"2017-09-05";"2026-06-01";"";""
"93";"82";"OLD\listes 2017-2018";"RecordGrp";"listes 2017-2018";"";"2017-09-05";"2017-09-05";"2026-06-01";"";""
"94";"95";"Photos kermesse fete ecole\Kermesse 2023 - photos officielles\photo_001.png";"Item";"photo_001.png";"";"2023-06-24";"2023-06-24";"2026-06-01";"";""
"95";"40";"Photos kermesse fete ecole\Kermesse 2023 - photos officielles";"RecordGrp";"Kermesse 2023 - photos officielles";"";"2023-06-24";"2023-06-24";"2026-06-01";"";""
"96";"95";"Photos kermesse fete ecole\Kermesse 2023 - photos officielles\photo_002.png";"Item";"photo_002.png";"";"2023-06-24";"2023-06-24";"2026-06-01";"";""
"97";"98";"RESTAURATION\Menus\menu sept-dec 2023.pdf";"Item";"menu sept-dec 2023.pdf";"";"2023-08-30";"2023-08-30";"2026-06-01";"";""
"98";"36";"RESTAURATION\Menus";"RecordGrp";"Menus";"";"2023-08-30";"2023-08-30";"2026-06-01";"";""
"99";"100";"RESTAURATION\Marchés publics\2023_renouvellement\CCTP cantine.docx";"Item";"CCTP cantine.docx";"";"2023-03-10";"2023-03-10";"2026-06-01";"";""
"100";"101";"RESTAURATION\Marchés publics\2023_renouvellement";"RecordGrp";"2023_renouvellement";"";"2023-03-10";"2023-07-15";"2026-06-01";"";""
"101";"36";"RESTAURATION\Marchés publics";"RecordGrp";"Marchés publics";"";"2023-03-10";"2023-07-15";"2026-06-01";"";""
"102";"100";"RESTAURATION\Marchés publics\2023_renouvellement\notification attributaire.pdf";"Item";"notification attributaire.pdf";"";"2023-07-15";"2023-07-15";"2026-06-01";"";""
"103";"100";"RESTAURATION\Marchés publics\2023_renouvellement\CCTP cantine VF.docx";"Item";"CCTP cantine VF.docx";"";"2023-03-22";"2023-03-22";"2026-06-01";"";""
"104";"100";"RESTAURATION\Marchés publics\2023_renouvellement\PV ouverture plis.pdf";"Item";"PV ouverture plis.pdf";"";"2023-06-03";"2023-06-03";"2026-06-01";"";""
"105";"106";"OLD\Sauvegarde poste Christine 2019\Telechargements\installeur acrobat.exe";"Item";"installeur acrobat.exe";"";"2018-07-03";"2018-07-03";"2026-06-01";"";""
"106";"107";"OLD\Sauvegarde poste Christine 2019\Telechargements";"RecordGrp";"Telechargements";"";"2018-07-03";"2018-07-03";"2026-06-01";"";""
"107";"82";"OLD\Sauvegarde poste Christine 2019";"RecordGrp";"Sauvegarde poste Christine 2019";"";"2018-07-03";"2018-12-04";"2026-06-01";"";""
"108";"109";"OLD\Sauvegarde poste Christine 2019\mes documents\travail\CR conseil ecole 2018-11-08.pdf";"Item";"CR conseil ecole 2018-11-08.pdf";"";"2018-11-12";"2018-11-12";"2026-06-01";"";""
"109";"110";"OLD\Sauvegarde poste Christine 2019\mes documents\travail";"RecordGrp";"travail";"";"2018-11-12";"2018-11-12";"2026-06-01";"";""
"110";"107";"OLD\Sauvegarde poste Christine 2019\mes documents";"RecordGrp";"mes documents";"";"2018-11-12";"2018-12-04";"2026-06-01";"";""
"111";"112";"OLD\Sauvegarde poste Christine 2019\mes documents\perso\photo chat.jpg";"Item";"photo chat.jpg";"";"2018-12-04";"2018-12-04";"2026-06-01";"";""
"112";"110";"OLD\Sauvegarde poste Christine 2019\mes documents\perso";"RecordGrp";"perso";"";"2018-12-04";"2018-12-04";"2026-06-01";"";""
